FULL NAME,TEAM,POS,Ortg,DRtg
Kenrich Williams,Nor,G,102.1,104.4
Lou Williams,Lac,G,109.1,108.3
Marvin Williams,Cha,F,115.2,106.7
Marvin Williams,Mil,F,110.9,93.2
Zion Williamson,Nor,F,115.2,110
D.J. Wilson,Mil,F,95,96.6
Justise Winslow,Mia,G,93.1,101.2
Christian Wood,Det,F,122.4,105.7
Delon Wright,Dal,G,119.9,106.5
Justin Wright-Foreman,Uta,G,0,0
Thaddeus Young,Chi,F,100.7,104.7
Trae Young,Atl,G,113.8,115
Cody Zeller,Cha,C,113.8,102.6
Ante Zizic,Cle,C,115.7,102.7
Ivica Zubac,Lac,C,130.3,95.3
